"Source:","D:\GitHub\210043-CO2-Guard\Hardware\Project_KiCad6\CO2Guard\CO2Guard.kicad_sch"
"Date:","17.01.2022 08:28:21"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","mpn"
"","","BZ1","Buzzer","Device:Buzzer","Beeper_Custom:Buzzer_12x9.5RM7.6","~","WT-1205"
"","","C1","100uF/50V","Device:CP_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","860020573008"
"","","C2","100nF/10V","Device:C_Small","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","MKS2C031001A00KSSD"
"","","C3","100nF/10V","Device:C_Small","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","MKS2C031001A00KSSD"
"","","D1","BAT85","Diode:BAT85","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BAT85.pdf","BAT85S-TR"
"","","D2","LED","Device:LED","LED_THT:LED_D3.0mm","~","151031SS04000"
"","","D3","LED","Device:LED","LED_THT:LED_D3.0mm","~","151031YS06000"
"","","D4","LED","Device:LED","LED_THT:LED_D3.0mm","~","151031VS06000"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"","","K1","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"","","K2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~",""
"","","MOD1","MH-Z19B","mh_z19b:MH-Z19B","mh-z19b:Winsen_MH-Z19B","https://www.winsen-sensor.com/d/files/MH-Z19B.pdf",""
"","","MOD2","WeMos_D1_mini","MCU_Module:WeMos_D1_mini","Module:WEMOS_D1_mini_light","https://wiki.wemos.cc/products:d1:d1_mini#documentation",""
"","","R1","1k5/0.25W","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","LR0204F1K5"
